Fish_weight,Fish_Age,avg_weight_eggs,Amount_Eggs
1,1,1,90150
1,1,1,85317
1,1,1,85185
1,1,1,79202
1,1,0,78463
1,1,1,78348
1,1,1,78075
1,1,1,74409
1,1,0,68880
1,1,0,68305
1,1,0,68288
1,1,1,67688
1,1,1,66837
1,1,1,66360
1,1,1,64562
1,1,1,64413
1,1,1,64157
1,1,0,63626
1,1,0,62737
1,1,1,62604
1,1,0,61770
1,1,1,61376
1,1,1,61078
1,1,1,60868
1,1,1,60168
1,1,1,59492
1,1,1,59280
1,1,0,59000
1,1,0,58315
1,1,0,57747
1,1,0,57509
1,1,1,57143
1,1,1,57068
1,1,1,56886
1,1,0,56101
1,1,0,55977
1,1,0,55496
1,1,0,54988
1,1,0,54933
1,1,0,54871
1,1,1,54469
1,1,0,54138
1,1,1,53366
1,1,1,53103
1,1,1,53053
1,1,1,52566
1,1,0,52533
1,1,1,52334
1,1,1,52137
1,1,1,51980
1,1,0,51313
1,1,1,51286
1,1,1,51252
1,1,1,51187
1,1,1,50940
1,1,1,50732
1,1,0,50593
1,1,1,50386
1,1,1,50384
1,1,0,50327
1,1,1,50308
1,1,1,50180
1,1,1,50109
1,1,1,49825
1,1,1,49679
1,1,1,49573
1,1,0,49447
1,1,1,49441
1,1,0,49353
1,1,1,49152
1,1,1,48940
1,1,1,47349
1,1,1,47285
1,1,1,46965
1,1,0,46833
1,1,1,46705
1,1,1,46603
1,1,1,46534
1,1,1,46344
1,1,1,46292
1,1,0,46238
1,1,0,46123
1,1,0,45459
1,1,1,45113
1,1,0,44852
1,1,0,44647
1,1,1,44480
1,1,1,44431
1,1,0,44176
1,1,0,43874
1,1,1,43703
1,1,0,43620
1,1,1,43473
1,1,1,43404
0,0,0,43392
1,1,1,43180
1,0,0,43055
1,1,1,43030
1,1,1,42765
0,0,0,42602
1,1,1,42596
1,1,1,42102
1,1,0,41970
1,1,0,41743
1,1,1,41697
1,1,0,41523
1,1,1,41491
1,1,0,41227
1,1,1,41154
1,1,1,41058
1,1,1,40977
1,1,0,40968
1,1,0,40927
1,1,0,40797
1,1,1,40579
0,0,0,40535
1,1,0,40347
1,1,1,39985
1,1,0,39347
1,1,1,39332
1,1,1,39238
1,1,1,38774
1,1,0,38183
1,0,0,38019
1,0,0,38013
1,1,0,37981
1,1,0,37590
1,1,0,37439
1,1,1,37257
0,0,0,37118
1,1,1,36934
1,1,0,36613
0,0,0,36564
1,1,1,36358
1,1,0,36184
1,1,0,36056
1,1,1,35908
1,1,1,35892
1,1,1,35256
1,0,0,35237
1,1,1,35171
1,1,1,35092
1,1,0,34842
1,1,0,34833
1,1,1,34799
1,1,0,34781
1,1,1,34622
1,1,1,34522
1,0,0,34415
1,1,1,34012
1,1,1,33951
1,0,0,33938
1,1,0,33761
1,1,1,33653
1,1,1,33625
1,1,1,33557
1,1,1,33268
1,1,1,33200
1,1,1,33086
1,1,1,33031
1,1,1,33025
1,1,1,32901
1,1,1,32882
0,0,0,32717
1,1,0,32538
0,0,0,32507
1,0,0,32287
1,1,0,32199
1,1,1,32069
1,1,1,32045
1,1,1,31417
1,1,0,31169
1,1,1,30841
1,1,0,30330
1,0,1,30221
1,1,0,30098
1,1,1,29997
1,1,0,29938
1,0,0,29651
0,0,0,29612
1,0,0,29513
1,1,1,29366
1,1,1,29365
1,0,0,29363
1,0,1,29233
1,0,0,29204
1,1,0,29072
1,1,0,29032
1,0,1,29003
1,1,1,28914
1,1,1,28629
1,1,1,28216
1,1,1,28203
1,1,1,28182
1,1,1,27997
1,0,1,27988
1,1,0,27924
1,1,1,27884
1,0,1,27857
1,1,1,27806
1,0,0,27411
0,0,0,27400
1,1,1,27382
1,0,1,27224
1,0,1,27139
1,0,0,27056
1,1,0,26835
1,1,1,26717
1,0,0,26695
1,0,0,26669
1,1,1,26378
0,0,0,25999
1,0,0,25981
1,1,0,25978
1,1,1,25972
1,0,1,25909
1,0,0,25779
1,0,0,25642
1,0,0,25401
1,1,0,25372
1,1,1,25313
1,0,0,25234
1,0,1,25204
1,1,1,25058
1,0,1,25040
1,1,0,24886
1,0,0,24850
1,1,1,24742
1,0,1,24629
1,1,1,24528
1,0,1,24387
1,0,1,24289
1,0,1,24264
1,0,0,24168
1,0,0,24128
0,0,0,23969
1,0,1,23819
1,1,1,23759
