endemics,area,elevation,distance_to_island,distance_to_coast,area_of_adjacent_island,Unnamed: 10,number_of_species
1,1,1,0,0,0,,444
1,1,1,0,0,1,,347
1,1,1,0,1,0,  ,285
1,1,1,1,1,0,,280
1,1,1,0,0,1,,237
1,1,1,1,0,0,,108
1,1,1,1,1,1,,104
1,1,0,0,1,0,,97
1,1,1,1,1,1,,93
1,0,0,1,0,1,,70
1,1,0,1,0,0,,62
1,1,1,0,0,0,,58
1,1,0,1,1,1,,51
0,0,1,0,0,1,,44
0,1,0,1,1,1,,40
0,0,0,0,0,1,,31
0,0,0,0,1,0,,25
0,0,0,1,1,0,,21
0,0,1,1,0,0,,18
0,0,0,1,1,1,,16
0,0,1,0,0,1,,12
0,0,0,1,1,0,,10
0,0,1,0,0,1,,8
0,0,0,1,1,0,,5
0,0,0,0,1,0,,3
0,0,1,0,0,1,,2
