Rank,Years_in_current_rank,Year_Degree_was_earned,Sex,Highest_Degree,Salary
1,1,1,1,1,38045
1,1,1,0,1,36350
1,1,1,0,1,35350
1,1,1,0,0,33696
1,1,1,0,0,32850
1,1,1,0,1,31909
1,1,1,0,0,31850
1,1,1,0,1,31114
1,1,1,0,1,29342
1,1,1,0,1,28516
1,1,1,0,1,28200
1,1,0,0,1,27959
1,1,1,0,1,27025
1,1,1,1,1,26775
1,0,0,0,0,26182
1,1,1,0,1,25748
1,0,1,1,1,25500
1,0,1,0,1,25400
1,0,1,1,0,24900
1,1,0,0,1,24832
1,1,0,0,1,24800
1,1,1,0,1,24750
1,1,0,0,0,24742
1,0,1,0,0,24450
1,0,1,0,0,23725
0,1,0,0,0,23713
1,1,1,0,0,23712
1,1,1,0,0,23300
1,1,1,0,0,22906
1,0,1,1,0,22450
0,1,1,1,0,21600
1,0,0,0,1,20999
1,0,0,0,1,20850
1,0,1,1,0,20690
1,1,1,0,0,20525
0,0,0,1,1,20300
0,1,1,0,0,19175
0,1,0,1,1,18304
0,0,0,0,1,18075
0,0,0,0,0,18000
0,0,0,0,1,17600
0,0,0,1,1,17250
0,0,0,0,1,17095
0,0,0,0,1,16700
0,0,0,1,1,16686
0,0,0,0,1,16500
0,0,0,0,1,16244
0,0,0,1,1,16150
0,0,0,0,1,16094
0,0,0,1,1,15350
0,0,0,1,1,15000
