Large B/P,Large ROE,Large S/P,Large Return Rate in the last quarter,Large Market Value,Small systematic Risk,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate,Annual Return
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,14.9,66.3,52.5,13.9
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.17,10.8,66.3,65.0,14.3
0.0,0.0,1.0,0.0,0.0,0.0,1.8,1.3,14.4,63.8,51.3,17.3
0.0,0.0,0.0,1.0,0.0,0.0,-0.2,1.39,14.4,61.3,47.5,9.6
0.0,0.0,0.0,0.0,1.0,0.0,0.1,1.04,8.7,72.5,53.8,9.6
0.0,0.0,0.0,0.0,0.0,1.0,-0.5,1.1,11.0,56.3,46.3,7.0
0.5,0.5,0.0,0.0,0.0,0.0,2.6,0.97,10.5,73.8,63.8,19.5
0.5,0.0,0.5,0.0,0.0,0.0,1.6,1.32,14.9,65.0,51.3,16.4
0.0,0.5,0.5,0.0,0.0,0.0,2.2,1.06,10.9,67.5,65.0,18.5
0.5,0.0,0.0,0.5,0.0,0.0,1.5,1.05,11.3,70.0,51.3,15.0
0.0,0.5,0.0,0.5,0.0,0.0,1.5,1.17,11.5,67.5,63.8,15.9
0.0,0.0,0.5,0.5,0.0,0.0,1.8,1.16,12.3,68.8,56.3,17.0
0.5,0.0,0.0,0.0,0.5,0.0,1.1,1.09,10.7,70.0,57.5,14.0
0.0,0.5,0.0,0.0,0.5,0.0,0.8,1.01,8.8,65.0,66.3,12.3
0.0,0.0,0.5,0.0,0.5,0.0,1.3,1.07,10.3,70.0,56.3,14.5
0.0,0.0,0.0,0.5,0.5,0.0,-0.1,1.15,10.9,66.3,50.0,9.0
0.5,0.0,0.0,0.0,0.0,0.5,0.9,0.97,10.9,68.8,50.0,11.8
0.0,0.5,0.0,0.0,0.0,0.5,1.7,0.99,10.1,67.5,62.5,15.4
0.0,0.0,0.5,0.0,0.0,0.5,1.3,1.04,11.4,63.8,55.0,13.8
0.0,0.0,0.0,0.5,0.0,0.5,0.3,1.12,12.2,61.3,48.8,10.1
0.0,0.0,0.0,0.0,0.5,0.5,0.1,1.01,9.1,62.5,50.0,9.3
0.333,0.333,0.333,0.0,0.0,0.0,2.4,1.08,11.7,70.0,65.0,19.2
0.333,0.333,0.0,0.333,0.0,0.0,2.3,0.98,10.2,72.5,57.5,18.3
0.333,0.0,0.333,0.333,0.0,0.0,1.7,1.14,12.4,70.0,48.8,16.4
0.0,0.333,0.333,0.333,0.0,0.0,2.2,1.07,10.9,70.0,61.3,18.4
0.333,0.333,0.0,0.0,0.333,0.0,1.5,0.95,9.2,71.3,62.5,14.7
0.333,0.0,0.333,0.0,0.333,0.0,1.7,1.17,12.2,67.5,58.8,16.8
0.0,0.333,0.333,0.0,0.333,0.0,1.4,0.99,9.3,67.5,60.0,14.6
0.333,0.0,0.0,0.333,0.333,0.0,1.0,0.99,9.6,68.8,53.8,12.7
0.0,0.333,0.0,0.333,0.333,0.0,0.7,1.09,10.1,67.5,58.8,12.4
0.0,0.0,0.333,0.333,0.333,0.0,1.2,1.04,10.0,67.5,60.0,13.8
0.333,0.333,0.0,0.0,0.0,0.333,2.4,0.82,9.4,73.8,56.3,17.0
0.333,0.0,0.333,0.0,0.0,0.333,1.2,1.07,11.9,63.8,52.5,13.5
0.0,0.333,0.333,0.0,0.0,0.333,2.4,0.98,10.5,67.5,58.8,18.5
0.333,0.0,0.0,0.333,0.0,0.333,1.1,0.94,10.1,66.3,55.0,12.7
0.0,0.333,0.0,0.333,0.0,0.333,1.7,0.99,10.3,65.0,57.5,15.6
0.0,0.0,0.333,0.333,0.0,0.333,1.6,1.07,11.4,65.0,52.5,15.7
0.333,0.0,0.0,0.0,0.333,0.333,1.4,0.96,10.1,70.0,55.0,13.8
0.0,0.333,0.0,0.0,0.333,0.333,1.2,0.97,8.8,63.8,62.5,13.8
0.0,0.0,0.333,0.0,0.333,0.333,1.4,0.95,10.0,66.3,52.5,14.1
0.0,0.0,0.0,0.333,0.333,0.333,0.0,1.13,11.3,58.8,45.0,9.0
0.25,0.25,0.25,0.25,0.0,0.0,2.4,1.06,11.3,70.0,57.5,19.1
0.25,0.25,0.25,0.0,0.25,0.0,1.9,1.02,10.3,71.3,65.0,17.0
