Large B/P,Large ROE,Large S/P,Large Return Rate in the last quarter,Large Market Value,Small systematic Risk,Annual Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate,Excess Return
1.0,0.0,0.0,0.0,0.0,0.0,13.9,1.33,14.9,66.3,52.5,1.0
0.0,1.0,0.0,0.0,0.0,0.0,14.3,1.17,10.8,66.3,65.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,17.3,1.3,14.4,63.8,51.3,1.8
0.0,0.0,0.0,1.0,0.0,0.0,9.6,1.39,14.4,61.3,47.5,-0.2
0.0,0.0,0.0,0.0,1.0,0.0,9.6,1.04,8.7,72.5,53.8,0.1
0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.1,11.0,56.3,46.3,-0.5
0.5,0.5,0.0,0.0,0.0,0.0,19.5,0.97,10.5,73.8,63.8,2.6
0.5,0.0,0.5,0.0,0.0,0.0,16.4,1.32,14.9,65.0,51.3,1.6
0.0,0.5,0.5,0.0,0.0,0.0,18.5,1.06,10.9,67.5,65.0,2.2
0.5,0.0,0.0,0.5,0.0,0.0,15.0,1.05,11.3,70.0,51.3,1.5
0.0,0.5,0.0,0.5,0.0,0.0,15.9,1.17,11.5,67.5,63.8,1.5
0.0,0.0,0.5,0.5,0.0,0.0,17.0,1.16,12.3,68.8,56.3,1.8
0.5,0.0,0.0,0.0,0.5,0.0,14.0,1.09,10.7,70.0,57.5,1.1
0.0,0.5,0.0,0.0,0.5,0.0,12.3,1.01,8.8,65.0,66.3,0.8
0.0,0.0,0.5,0.0,0.5,0.0,14.5,1.07,10.3,70.0,56.3,1.3
0.0,0.0,0.0,0.5,0.5,0.0,9.0,1.15,10.9,66.3,50.0,-0.1
0.5,0.0,0.0,0.0,0.0,0.5,11.8,0.97,10.9,68.8,50.0,0.9
0.0,0.5,0.0,0.0,0.0,0.5,15.4,0.99,10.1,67.5,62.5,1.7
0.0,0.0,0.5,0.0,0.0,0.5,13.8,1.04,11.4,63.8,55.0,1.3
0.0,0.0,0.0,0.5,0.0,0.5,10.1,1.12,12.2,61.3,48.8,0.3
0.0,0.0,0.0,0.0,0.5,0.5,9.3,1.01,9.1,62.5,50.0,0.1
0.333,0.333,0.333,0.0,0.0,0.0,19.2,1.08,11.7,70.0,65.0,2.4
0.333,0.333,0.0,0.333,0.0,0.0,18.3,0.98,10.2,72.5,57.5,2.3
0.333,0.0,0.333,0.333,0.0,0.0,16.4,1.14,12.4,70.0,48.8,1.7
0.0,0.333,0.333,0.333,0.0,0.0,18.4,1.07,10.9,70.0,61.3,2.2
0.333,0.333,0.0,0.0,0.333,0.0,14.7,0.95,9.2,71.3,62.5,1.5
0.333,0.0,0.333,0.0,0.333,0.0,16.8,1.17,12.2,67.5,58.8,1.7
0.0,0.333,0.333,0.0,0.333,0.0,14.6,0.99,9.3,67.5,60.0,1.4
0.333,0.0,0.0,0.333,0.333,0.0,12.7,0.99,9.6,68.8,53.8,1.0
0.0,0.333,0.0,0.333,0.333,0.0,12.4,1.09,10.1,67.5,58.8,0.7
0.0,0.0,0.333,0.333,0.333,0.0,13.8,1.04,10.0,67.5,60.0,1.2
0.333,0.333,0.0,0.0,0.0,0.333,17.0,0.82,9.4,73.8,56.3,2.4
0.333,0.0,0.333,0.0,0.0,0.333,13.5,1.07,11.9,63.8,52.5,1.2
0.0,0.333,0.333,0.0,0.0,0.333,18.5,0.98,10.5,67.5,58.8,2.4
0.333,0.0,0.0,0.333,0.0,0.333,12.7,0.94,10.1,66.3,55.0,1.1
0.0,0.333,0.0,0.333,0.0,0.333,15.6,0.99,10.3,65.0,57.5,1.7
0.0,0.0,0.333,0.333,0.0,0.333,15.7,1.07,11.4,65.0,52.5,1.6
0.333,0.0,0.0,0.0,0.333,0.333,13.8,0.96,10.1,70.0,55.0,1.4
0.0,0.333,0.0,0.0,0.333,0.333,13.8,0.97,8.8,63.8,62.5,1.2
0.0,0.0,0.333,0.0,0.333,0.333,14.1,0.95,10.0,66.3,52.5,1.4
0.0,0.0,0.0,0.333,0.333,0.333,9.0,1.13,11.3,58.8,45.0,0.0
0.25,0.25,0.25,0.25,0.0,0.0,19.1,1.06,11.3,70.0,57.5,2.4
0.25,0.25,0.25,0.0,0.25,0.0,17.0,1.02,10.3,71.3,65.0,1.9
0.25,0.25,0.0,0.25,0.25,0.0,15.0,0.98,9.3,70.0,61.3,1.5
0.25,0.0,0.25,0.25,0.25,0.0,15.3,1.08,11.1,66.3,53.8,1.5
0.0,0.25,0.25,0.25,0.25,0.0,15.2,1.05,9.8,67.5,62.5,1.4
0.25,0.25,0.25,0.0,0.0,0.25,17.7,0.97,10.8,68.8,58.8,2.3
0.25,0.25,0.0,0.25,0.0,0.25,17.0,0.86,9.4,67.5,63.8,2.3
0.25,0.0,0.25,0.25,0.0,0.25,15.4,1.04,11.7,65.0,51.3,1.7
0.0,0.25,0.25,0.25,0.0,0.25,17.9,1.0,10.6,71.3,61.3,2.2
0.25,0.25,0.0,0.0,0.25,0.25,16.3,0.83,8.6,75.0,63.8,2.1
0.25,0.0,0.25,0.0,0.25,0.25,15.3,1.03,10.9,70.0,60.0,1.6
0.0,0.25,0.25,0.0,0.25,0.25,16.4,0.93,9.2,70.0,62.5,1.9
0.25,0.0,0.0,0.25,0.25,0.25,12.9,0.89,9.1,67.5,52.5,1.2
0.0,0.25,0.0,0.25,0.25,0.25,14.0,1.01,9.7,65.0,56.3,1.2
0.0,0.0,0.25,0.25,0.25,0.25,13.8,0.97,9.9,67.5,53.8,1.3
0.2,0.2,0.2,0.2,0.2,0.0,17.2,1.01,10.2,71.3,60.0,2.0
0.2,0.2,0.2,0.2,0.0,0.2,18.1,0.96,10.5,67.5,57.5,2.3
0.2,0.2,0.2,0.0,0.2,0.2,17.1,0.94,10.0,70.0,63.8,2.2
0.2,0.2,0.0,0.2,0.2,0.2,15.3,0.88,8.7,72.5,63.8,1.8
0.2,0.0,0.2,0.2,0.2,0.2,15.6,0.97,10.4,66.3,52.5,1.8
0.0,0.2,0.2,0.2,0.2,0.2,16.1,0.98,9.4,68.8,66.3,1.8
0.167,0.167,0.167,0.167,0.167,0.167,17.3,0.91,9.5,71.3,66.3,2.2
1.0,0.0,0.0,0.0,0.0,0.0,25.54,0.975575441443917,8.14,80.0,60.0,2.08
0.0,1.0,0.0,0.0,0.0,0.0,24.96,1.3508010269013,7.75,85.0,75.0,0.4
0.0,0.0,1.0,0.0,0.0,0.0,23.12,1.04000630544822,8.78,80.0,40.0,1.35
0.0,0.0,0.0,1.0,0.0,0.0,20.38,1.29189867529464,8.86,70.0,60.0,-0.26
0.0,0.0,0.0,0.0,1.0,0.0,16.38,0.974705620441101,4.61,80.0,45.0,-0.08
0.0,0.0,0.0,0.0,0.0,1.0,17.35,1.2270745811143,8.07,75.0,50.0,-0.72
0.5,0.5,0.0,0.0,0.0,0.0,29.49,1.06069011326896,6.49,90.0,70.0,2.46
0.5,0.0,0.5,0.0,0.0,0.0,25.59,1.01039683373859,8.34,80.0,50.0,1.96
0.0,0.5,0.5,0.0,0.0,0.0,24.82,1.13802797593774,7.72,75.0,65.0,1.24
0.5,0.0,0.0,0.5,0.0,0.0,22.76,0.850334931122146,5.98,85.0,55.0,1.89
0.0,0.5,0.0,0.5,0.0,0.0,26.13,1.3518604207393,8.49,80.0,70.0,0.7
0.0,0.0,0.5,0.5,0.0,0.0,22.83,0.912782533000923,7.18,80.0,60.0,1.71
0.5,0.0,0.0,0.0,0.5,0.0,24.39,1.01514679558228,5.73,85.0,70.0,1.54
0.0,0.5,0.0,0.0,0.5,0.0,18.45,1.26458869819601,6.29,70.0,55.0,-0.74
0.0,0.0,0.5,0.0,0.5,0.0,21.53,0.934076431794567,5.72,85.0,55.0,1.26
0.0,0.0,0.0,0.5,0.5,0.0,15.96,1.18650638292965,6.2,70.0,45.0,-0.97
0.5,0.0,0.0,0.0,0.0,0.5,23.85,0.878797972589126,7.27,90.0,50.0,2.07
0.0,0.5,0.0,0.0,0.0,0.5,27.56,1.41678691342888,8.7,85.0,80.0,0.73
0.0,0.0,0.5,0.0,0.0,0.5,23.51,1.02005250189985,8.09,80.0,60.0,1.47
0.0,0.0,0.0,0.5,0.0,0.5,18.67,1.28893460549828,8.95,75.0,55.0,-0.61
0.0,0.0,0.0,0.0,0.5,0.5,18.25,1.10008492646388,5.48,70.0,60.0,-0.15
0.333,0.333,0.333,0.0,0.0,0.0,29.01,1.09153976143718,7.13,80.0,75.0,2.27
0.333,0.333,0.0,0.333,0.0,0.0,24.91,1.00748445566034,6.63,80.0,55.0,1.73
0.333,0.0,0.333,0.333,0.0,0.0,23.77,0.960763718635896,7.19,85.0,60.0,1.71
0.0,0.333,0.333,0.333,0.0,0.0,25.81,1.16027555171043,7.77,80.0,65.0,1.36
0.333,0.333,0.0,0.0,0.333,0.0,22.07,1.1796842420917,5.96,75.0,60.0,0.38
0.333,0.0,0.333,0.0,0.333,0.0,25.53,0.924903302306591,6.27,80.0,60.0,2.18
0.0,0.333,0.333,0.0,0.333,0.0,21.13,1.16564735742934,6.28,70.0,55.0,0.25
0.333,0.0,0.0,0.333,0.333,0.0,18.81,0.84484114462693,4.77,80.0,50.0,1.0
0.0,0.333,0.0,0.333,0.333,0.0,20.61,1.31216411337097,7.06,70.0,55.0,-0.42
0.0,0.0,0.333,0.333,0.333,0.0,18.94,0.834788659780413,5.14,80.0,55.0,1.09
0.333,0.333,0.0,0.0,0.0,0.333,28.35,1.00845689663209,6.88,80.0,65.0,2.46
0.333,0.0,0.333,0.0,0.0,0.333,24.73,0.984688011707386,7.87,80.0,55.0,1.85
0.0,0.333,0.333,0.0,0.0,0.333,27.56,1.18977820979162,8.09,80.0,60.0,1.62
0.333,0.0,0.0,0.333,0.0,0.333,22.04,0.908043902930134,6.89,80.0,65.0,1.54
0.0,0.333,0.0,0.333,0.0,0.333,25.45,1.31770633107793,8.56,75.0,75.0,0.7
0.0,0.0,0.333,0.333,0.0,0.333,23.98,1.03542344088605,7.93,75.0,60.0,1.5
0.333,0.0,0.0,0.0,0.333,0.333,25.08,0.944525367918216,6.48,85.0,60.0,2.02
0.0,0.333,0.0,0.0,0.333,0.333,22.41,1.32243611708652,7.03,70.0,70.0,-0.08
0.0,0.0,0.333,0.0,0.333,0.333,22.82,0.94028794365477,6.89,80.0,55.0,1.58
0.0,0.0,0.0,0.333,0.333,0.333,15.95,1.1778657534151,7.36,65.0,50.0,-0.87
0.25,0.25,0.25,0.25,0.0,0.0,26.67,1.06778241495105,7.31,75.0,65.0,1.89
0.25,0.25,0.25,0.0,0.25,0.0,25.0,1.10571205592423,6.13,85.0,65.0,1.31
0.25,0.25,0.0,0.25,0.25,0.0,20.38,1.09908097595925,5.81,70.0,60.0,0.34
0.25,0.0,0.25,0.25,0.25,0.0,22.4,0.831234362982992,5.41,80.0,60.0,1.87
0.0,0.25,0.25,0.25,0.25,0.0,20.79,1.12619405623448,6.31,80.0,70.0,0.34
0.25,0.25,0.25,0.0,0.0,0.25,28.35,1.04516309197912,7.59,80.0,55.0,2.35
0.25,0.25,0.0,0.25,0.0,0.25,26.07,0.964960025148597,6.86,80.0,65.0,2.17
0.25,0.0,0.25,0.25,0.0,0.25,23.69,0.89863075154618,7.56,80.0,65.0,1.98
0.0,0.25,0.25,0.25,0.0,0.25,27.88,1.10937735969351,7.96,85.0,70.0,2.02
0.25,0.25,0.0,0.0,0.25,0.25,26.05,1.04847813340484,5.79,90.0,75.0,1.76
0.25,0.0,0.25,0.0,0.25,0.25,26.1,0.940957638434705,6.74,85.0,65.0,2.26
0.0,0.25,0.25,0.0,0.25,0.25,24.83,1.19160037069108,7.08,80.0,60.0,0.98
0.25,0.0,0.0,0.25,0.25,0.25,19.38,0.784163442238522,5.0,80.0,55.0,1.39
0.0,0.25,0.0,0.25,0.25,0.25,22.37,1.31477580349665,7.73,75.0,70.0,0.0
