Large B/P,Large ROE,Large S/P,Large Return Rate in the last quarter,Large Market Value,Small systematic Risk,Annual Return,Excess Return,Total Risk,Abs. Win Rate,Rel. Win Rate,Systematic Risk
1.0,0.0,0.0,0.0,0.0,0.0,13.9,1.0,14.9,66.3,52.5,1.33
0.0,1.0,0.0,0.0,0.0,0.0,14.3,1.0,10.8,66.3,65.0,1.17
0.0,0.0,1.0,0.0,0.0,0.0,17.3,1.8,14.4,63.8,51.3,1.3
0.0,0.0,0.0,1.0,0.0,0.0,9.6,-0.2,14.4,61.3,47.5,1.39
0.0,0.0,0.0,0.0,1.0,0.0,9.6,0.1,8.7,72.5,53.8,1.04
0.0,0.0,0.0,0.0,0.0,1.0,7.0,-0.5,11.0,56.3,46.3,1.1
0.5,0.5,0.0,0.0,0.0,0.0,19.5,2.6,10.5,73.8,63.8,0.97
0.5,0.0,0.5,0.0,0.0,0.0,16.4,1.6,14.9,65.0,51.3,1.32
0.0,0.5,0.5,0.0,0.0,0.0,18.5,2.2,10.9,67.5,65.0,1.06
0.5,0.0,0.0,0.5,0.0,0.0,15.0,1.5,11.3,70.0,51.3,1.05
0.0,0.5,0.0,0.5,0.0,0.0,15.9,1.5,11.5,67.5,63.8,1.17
0.0,0.0,0.5,0.5,0.0,0.0,17.0,1.8,12.3,68.8,56.3,1.16
0.5,0.0,0.0,0.0,0.5,0.0,14.0,1.1,10.7,70.0,57.5,1.09
0.0,0.5,0.0,0.0,0.5,0.0,12.3,0.8,8.8,65.0,66.3,1.01
0.0,0.0,0.5,0.0,0.5,0.0,14.5,1.3,10.3,70.0,56.3,1.07
0.0,0.0,0.0,0.5,0.5,0.0,9.0,-0.1,10.9,66.3,50.0,1.15
0.5,0.0,0.0,0.0,0.0,0.5,11.8,0.9,10.9,68.8,50.0,0.97
0.0,0.5,0.0,0.0,0.0,0.5,15.4,1.7,10.1,67.5,62.5,0.99
0.0,0.0,0.5,0.0,0.0,0.5,13.8,1.3,11.4,63.8,55.0,1.04
0.0,0.0,0.0,0.5,0.0,0.5,10.1,0.3,12.2,61.3,48.8,1.12
0.0,0.0,0.0,0.0,0.5,0.5,9.3,0.1,9.1,62.5,50.0,1.01
0.333,0.333,0.333,0.0,0.0,0.0,19.2,2.4,11.7,70.0,65.0,1.08
0.333,0.333,0.0,0.333,0.0,0.0,18.3,2.3,10.2,72.5,57.5,0.98
0.333,0.0,0.333,0.333,0.0,0.0,16.4,1.7,12.4,70.0,48.8,1.14
0.0,0.333,0.333,0.333,0.0,0.0,18.4,2.2,10.9,70.0,61.3,1.07
0.333,0.333,0.0,0.0,0.333,0.0,14.7,1.5,9.2,71.3,62.5,0.95
0.333,0.0,0.333,0.0,0.333,0.0,16.8,1.7,12.2,67.5,58.8,1.17
0.0,0.333,0.333,0.0,0.333,0.0,14.6,1.4,9.3,67.5,60.0,0.99
0.333,0.0,0.0,0.333,0.333,0.0,12.7,1.0,9.6,68.8,53.8,0.99
0.0,0.333,0.0,0.333,0.333,0.0,12.4,0.7,10.1,67.5,58.8,1.09
0.0,0.0,0.333,0.333,0.333,0.0,13.8,1.2,10.0,67.5,60.0,1.04
0.333,0.333,0.0,0.0,0.0,0.333,17.0,2.4,9.4,73.8,56.3,0.82
0.333,0.0,0.333,0.0,0.0,0.333,13.5,1.2,11.9,63.8,52.5,1.07
0.0,0.333,0.333,0.0,0.0,0.333,18.5,2.4,10.5,67.5,58.8,0.98
0.333,0.0,0.0,0.333,0.0,0.333,12.7,1.1,10.1,66.3,55.0,0.94
0.0,0.333,0.0,0.333,0.0,0.333,15.6,1.7,10.3,65.0,57.5,0.99
0.0,0.0,0.333,0.333,0.0,0.333,15.7,1.6,11.4,65.0,52.5,1.07
0.333,0.0,0.0,0.0,0.333,0.333,13.8,1.4,10.1,70.0,55.0,0.96
0.0,0.333,0.0,0.0,0.333,0.333,13.8,1.2,8.8,63.8,62.5,0.97
0.0,0.0,0.333,0.0,0.333,0.333,14.1,1.4,10.0,66.3,52.5,0.95
0.0,0.0,0.0,0.333,0.333,0.333,9.0,0.0,11.3,58.8,45.0,1.13
0.25,0.25,0.25,0.25,0.0,0.0,19.1,2.4,11.3,70.0,57.5,1.06
0.25,0.25,0.25,0.0,0.25,0.0,17.0,1.9,10.3,71.3,65.0,1.02
0.25,0.25,0.0,0.25,0.25,0.0,15.0,1.5,9.3,70.0,61.3,0.98
0.25,0.0,0.25,0.25,0.25,0.0,15.3,1.5,11.1,66.3,53.8,1.08
0.0,0.25,0.25,0.25,0.25,0.0,15.2,1.4,9.8,67.5,62.5,1.05
0.25,0.25,0.25,0.0,0.0,0.25,17.7,2.3,10.8,68.8,58.8,0.97
0.25,0.25,0.0,0.25,0.0,0.25,17.0,2.3,9.4,67.5,63.8,0.86
0.25,0.0,0.25,0.25,0.0,0.25,15.4,1.7,11.7,65.0,51.3,1.04
0.0,0.25,0.25,0.25,0.0,0.25,17.9,2.2,10.6,71.3,61.3,1.0
0.25,0.25,0.0,0.0,0.25,0.25,16.3,2.1,8.6,75.0,63.8,0.83
0.25,0.0,0.25,0.0,0.25,0.25,15.3,1.6,10.9,70.0,60.0,1.03
0.0,0.25,0.25,0.0,0.25,0.25,16.4,1.9,9.2,70.0,62.5,0.93
0.25,0.0,0.0,0.25,0.25,0.25,12.9,1.2,9.1,67.5,52.5,0.89
0.0,0.25,0.0,0.25,0.25,0.25,14.0,1.2,9.7,65.0,56.3,1.01
0.0,0.0,0.25,0.25,0.25,0.25,13.8,1.3,9.9,67.5,53.8,0.97
0.2,0.2,0.2,0.2,0.2,0.0,17.2,2.0,10.2,71.3,60.0,1.01
0.2,0.2,0.2,0.2,0.0,0.2,18.1,2.3,10.5,67.5,57.5,0.96
0.2,0.2,0.2,0.0,0.2,0.2,17.1,2.2,10.0,70.0,63.8,0.94
0.2,0.2,0.0,0.2,0.2,0.2,15.3,1.8,8.7,72.5,63.8,0.88
0.2,0.0,0.2,0.2,0.2,0.2,15.6,1.8,10.4,66.3,52.5,0.97
