Large B/P,Large ROE,Large S/P,Large Return Rate in the last quarter,Large Market Value,Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Abs. Win Rate,Rel. Win Rate,Total Risk
1.0,0.0,0.0,0.0,0.0,0.0,13.9,1.0,1.33,66.3,52.5,14.9
0.0,1.0,0.0,0.0,0.0,0.0,14.3,1.0,1.17,66.3,65.0,10.8
0.0,0.0,1.0,0.0,0.0,0.0,17.3,1.8,1.3,63.8,51.3,14.4
0.0,0.0,0.0,1.0,0.0,0.0,9.6,-0.2,1.39,61.3,47.5,14.4
0.0,0.0,0.0,0.0,1.0,0.0,9.6,0.1,1.04,72.5,53.8,8.7
0.0,0.0,0.0,0.0,0.0,1.0,7.0,-0.5,1.1,56.3,46.3,11.0
0.5,0.5,0.0,0.0,0.0,0.0,19.5,2.6,0.97,73.8,63.8,10.5
0.5,0.0,0.5,0.0,0.0,0.0,16.4,1.6,1.32,65.0,51.3,14.9
0.0,0.5,0.5,0.0,0.0,0.0,18.5,2.2,1.06,67.5,65.0,10.9
0.5,0.0,0.0,0.5,0.0,0.0,15.0,1.5,1.05,70.0,51.3,11.3
0.0,0.5,0.0,0.5,0.0,0.0,15.9,1.5,1.17,67.5,63.8,11.5
0.0,0.0,0.5,0.5,0.0,0.0,17.0,1.8,1.16,68.8,56.3,12.3
0.5,0.0,0.0,0.0,0.5,0.0,14.0,1.1,1.09,70.0,57.5,10.7
0.0,0.5,0.0,0.0,0.5,0.0,12.3,0.8,1.01,65.0,66.3,8.8
0.0,0.0,0.5,0.0,0.5,0.0,14.5,1.3,1.07,70.0,56.3,10.3
0.0,0.0,0.0,0.5,0.5,0.0,9.0,-0.1,1.15,66.3,50.0,10.9
0.5,0.0,0.0,0.0,0.0,0.5,11.8,0.9,0.97,68.8,50.0,10.9
0.0,0.5,0.0,0.0,0.0,0.5,15.4,1.7,0.99,67.5,62.5,10.1
0.0,0.0,0.5,0.0,0.0,0.5,13.8,1.3,1.04,63.8,55.0,11.4
0.0,0.0,0.0,0.5,0.0,0.5,10.1,0.3,1.12,61.3,48.8,12.2
0.0,0.0,0.0,0.0,0.5,0.5,9.3,0.1,1.01,62.5,50.0,9.1
0.333,0.333,0.333,0.0,0.0,0.0,19.2,2.4,1.08,70.0,65.0,11.7
0.333,0.333,0.0,0.333,0.0,0.0,18.3,2.3,0.98,72.5,57.5,10.2
0.333,0.0,0.333,0.333,0.0,0.0,16.4,1.7,1.14,70.0,48.8,12.4
0.0,0.333,0.333,0.333,0.0,0.0,18.4,2.2,1.07,70.0,61.3,10.9
