Large B/P,Large ROE,Large S/P,Large Return Rate in the last quarter,Large Market Value,Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Rel. Win Rate,Abs. Win Rate
1.0,0.0,0.0,0.0,0.0,0.0,13.9,1.0,1.33,14.9,52.5,66.3
0.0,1.0,0.0,0.0,0.0,0.0,14.3,1.0,1.17,10.8,65.0,66.3
0.0,0.0,1.0,0.0,0.0,0.0,17.3,1.8,1.3,14.4,51.3,63.8
0.0,0.0,0.0,1.0,0.0,0.0,9.6,-0.2,1.39,14.4,47.5,61.3
0.0,0.0,0.0,0.0,1.0,0.0,9.6,0.1,1.04,8.7,53.8,72.5
0.0,0.0,0.0,0.0,0.0,1.0,7.0,-0.5,1.1,11.0,46.3,56.3
0.5,0.5,0.0,0.0,0.0,0.0,19.5,2.6,0.97,10.5,63.8,73.8
0.5,0.0,0.5,0.0,0.0,0.0,16.4,1.6,1.32,14.9,51.3,65.0
0.0,0.5,0.5,0.0,0.0,0.0,18.5,2.2,1.06,10.9,65.0,67.5
0.5,0.0,0.0,0.5,0.0,0.0,15.0,1.5,1.05,11.3,51.3,70.0
0.0,0.5,0.0,0.5,0.0,0.0,15.9,1.5,1.17,11.5,63.8,67.5
0.0,0.0,0.5,0.5,0.0,0.0,17.0,1.8,1.16,12.3,56.3,68.8
0.5,0.0,0.0,0.0,0.5,0.0,14.0,1.1,1.09,10.7,57.5,70.0
0.0,0.5,0.0,0.0,0.5,0.0,12.3,0.8,1.01,8.8,66.3,65.0
0.0,0.0,0.5,0.0,0.5,0.0,14.5,1.3,1.07,10.3,56.3,70.0
0.0,0.0,0.0,0.5,0.5,0.0,9.0,-0.1,1.15,10.9,50.0,66.3
0.5,0.0,0.0,0.0,0.0,0.5,11.8,0.9,0.97,10.9,50.0,68.8
0.0,0.5,0.0,0.0,0.0,0.5,15.4,1.7,0.99,10.1,62.5,67.5
0.0,0.0,0.5,0.0,0.0,0.5,13.8,1.3,1.04,11.4,55.0,63.8
0.0,0.0,0.0,0.5,0.0,0.5,10.1,0.3,1.12,12.2,48.8,61.3
0.0,0.0,0.0,0.0,0.5,0.5,9.3,0.1,1.01,9.1,50.0,62.5
0.333,0.333,0.333,0.0,0.0,0.0,19.2,2.4,1.08,11.7,65.0,70.0
0.333,0.333,0.0,0.333,0.0,0.0,18.3,2.3,0.98,10.2,57.5,72.5
